Benchmark, Cache size, Block Size, Associativity, Cache Latency, Cache Energy, Data Hits, Data Misses, Writebacks, Instructions Hits, Instruction Misses
0,8192,64,8,1.325350,0.079983,53578537,376657,212262,131505714,2712014
0,8192,64,8,1.325350,0.079983,10665,334,133,43492,544
0,8192,64,8,1.325350,0.079983,1032482,8508,484,7696465,300
0,8192,64,8,1.325350,0.079983,42996397,113,1,129615611,4602117
0,8192,128,1,1.094230,0.018999,51660539,2294655,854876,133052906,1164822
0,8192,128,1,1.094230,0.018999,10781,218,97,43650,386
0,8192,128,1,1.094230,0.018999,971634,69356,6414,7696542,223
0,8192,128,1,1.094230,0.018999,41170188,1826322,666043,127487690,6730038
0,8192,128,2,1.179620,0.030689,53108328,846866,401958,132922474,1295254
0,8192,128,2,1.179620,0.030689,10804,195,85,43687,349
0,8192,128,2,1.179620,0.030689,1003835,37155,377,7696564,201
0,8192,128,2,1.179620,0.030689,42963104,33406,14501,129191629,5026099
0,8192,128,4,1.242380,0.036130,53517488,437706,211189,132790904,1426824
0,8192,128,4,1.242380,0.036130,10810,189,80,43676,360
0,8192,128,4,1.242380,0.036130,1021736,19254,246,7696572,193
0,8192,128,4,1.242380,0.036130,42989159,7351,1,130728900,3488828
0,8192,256,1,1.094230,0.018999,49570141,4385053,1278502,133494632,723096
0,8192,256,1,1.094230,0.018999,10845,154,74,43750,286
0,8192,256,1,1.094230,0.018999,961129,79861,11108,7696595,170
0,8192,256,1,1.094230,0.018999,41062459,1934051,670601,128898063,5319665
0,8192,256,2,1.179620,0.030689,53314674,640520,271430,133469260,748468
0,8192,256,2,1.179620,0.030689,10878,121,58,43792,244
0,8192,256,2,1.179620,0.030689,969235,71755,630,7696620,145
0,8192,256,2,1.179620,0.030689,42956519,39991,16081,130470696,3747032
0,8192,512,1,1.094230,0.018999,47977121,5978073,2004628,133685120,532608
0,8192,512,1,1.094230,0.018999,10867,132,66,43783,253
0,8192,512,1,1.094230,0.018999,940689,100301,21276,7696628,137
0,8192,512,1,1.094230,0.018999,40444063,2552447,851963,129933397,4284331
0,16384,32,1,1.182570,0.033274,52493841,1461353,563010,133052311,1165417
0,16384,32,1,1.182570,0.033274,10362,637,89,43148,888
0,16384,32,1,1.182570,0.033274,1033513,7477,1992,7696335,430
0,16384,32,1,1.182570,0.033274,42996325,185,0,128746008,5471720
0,16384,32,2,1.182690,0.033113,53518648,436546,246575,133163195,1054533
0,16384,32,2,1.182690,0.033113,10380,619,80,43235,801
0,16384,32,2,1.182690,0.033113,1037741,3249,664,7696340,425
0,16384,32,2,1.182690,0.033113,42996325,185,0,131685354,2532374
0,16384,32,4,1.375500,0.037533,53645905,309289,220345,133375565,842163
0,16384,32,4,1.375500,0.037533,10385,614,43,43242,794
0,16384,32,4,1.375500,0.037533,1039680,1310,587,7696346,419
0,16384,32,4,1.375500,0.037533,42996325,185,0,133251991,965737
0,16384,32,8,1.456600,0.081704,53597167,358027,240153,133367158,850570
0,16384,32,8,1.456600,0.081704,10390,609,18,43242,794
0,16384,32,8,1.456600,0.081704,1039680,1310,569,7696355,410
0,16384,32,8,1.456600,0.081704,42996325,185,0,133976507,241221
0,16384,32,16,1.430100,0.168929,53539970,415224,288144,133366762,850966
0,16384,32,16,1.430100,0.168929,10392,607,23,43248,788
0,16384,32,16,1.430100,0.168929,1039680,1310,563,7696357,408
0,16384,32,16,1.430100,0.168929,42996325,185,0,134047831,169897
0,16384,32,32,1.481290,0.343944,53504078,451116,320175,133366635,851093
0,16384,32,32,1.481290,0.343944,10392,607,20,43249,787
0,16384,32,32,1.481290,0.343944,1039680,1310,564,7696358,407
